Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Percentage Change,Hash Rate
BTC,2014-03-14,628.1875,636.4141,636.7567,624.7717,-0.0129,29367.84755
BTC,2014-03-15,632.9533,628.1875,636,625.5418,0.0076,36973.90879
BTC,2014-03-16,630.3483,632.9533,635.2433,627.48,-0.0041,33382.15765
BTC,2014-03-17,617.2433,630.3483,630.7767,616.1733,-0.0208,37607.74722
BTC,2014-03-18,616.8667,617.2433,621.4717,599.76,-0.0006,30635.52442
BTC,2014-03-19,601.015,616.8667,621.1835,601.01,-0.0257,32748.31921
BTC,2014-03-20,581.3333,601.015,604.5283,579.5533,-0.0327,35283.67296
BTC,2014-03-21,570.3617,581.3333,605.1533,563.4617,-0.0189,38241.58566
BTC,2014-03-22,562.9533,570.3617,571.8666,550.6033,-0.013,37185.18827
BTC,2014-03-23,557.1683,562.9533,570.3308,551.1633,-0.0103,43312.29315
BTC,2014-03-24,573.35,557.1683,587.9867,552.13,0.029,42044.61628
BTC,2014-03-25,572.4916,573.35,585.575,570.4383,-0.0015,37582.75087
BTC,2014-03-26,570.5483,572.4916,589.955,561.6117,-0.0034,39324.9976
BTC,2014-03-27,509.7067,570.5483,571.5767,471.0183,-0.1066,41565.02911
BTC,2014-03-28,499.25,509.7067,525.1633,487.1633,-0.0205,45547.30735
BTC,2014-03-29,486.8085,499.25,504.2123,483.5116,-0.0249,42560.59867
BTC,2014-03-30,472.4783,486.8085,486.8085,443.2617,-0.0294,37084.96609
BTC,2014-03-31,464.88,472.4783,472.4783,442.1917,-0.0161,41813.9215
BTC,2014-04-01,480.1658,464.88,500.6407,459.6783,0.0329,44551.73779
BTC,2014-04-02,427.875,480.1658,494.9833,419.705,-0.1089,46045.09213
BTC,2014-04-03,432.9972,427.875,456.3486,414.4133,0.012,51769.6171
BTC,2014-04-04,453.8715,432.9972,455.9933,428.63,0.0482,50027.37037
BTC,2014-04-05,462.445,453.8715,465.6377,444.1363,0.0189,54454.16888
BTC,2014-04-06,456.4695,462.445,466.475,450.8057,-0.0129,43198.27922
BTC,2014-04-07,452.81,456.4695,458.925,443.7186,-0.008,44415.13216
BTC,2014-04-08,450.4808,452.81,456.8819,446.7167,-0.0051,47457.2645
BTC,2014-04-09,426.9833,450.4808,453.0642,423.8219,-0.0522,44110.91892
BTC,2014-04-10,374.5917,426.9833,427.5385,344.2217,-0.1227,53237.31594
BTC,2014-04-11,438.2467,374.5917,438.2467,374.5917,0.1699,45327.77186
BTC,2014-04-12,423.5157,438.2467,438.911,413.0883,-0.0336,48674.11743
BTC,2014-04-13,409.0317,423.5157,425.6852,394.1018,-0.0342,60538.43356
BTC,2014-04-14,455.2832,409.0317,470.9533,406.8559,0.1131,55366.80858
BTC,2014-04-15,517.0967,455.2832,524.8058,454.1817,0.1358,59321.58062
BTC,2014-04-16,522.455,517.0967,543.3175,493.0833,0.0104,45327.77186
BTC,2014-04-17,490.8785,522.455,529.2978,481.455,-0.0604,60364.10607
BTC,2014-04-18,469.3833,490.8785,497.7733,468.1617,-0.0438,54119.54337
BTC,2014-04-19,507.8066,469.3833,511.7684,467.8167,0.0819,56547.98442
BTC,2014-04-20,505.0967,507.8066,510.8317,489.1804,-0.0053,58976.42547
BTC,2014-04-21,497.65,505.0967,507.45,488.875,-0.0147,61404.86652
BTC,2014-04-22,487.84,497.65,498.5917,482.7367,-0.0197,53425.70307
BTC,2014-04-23,487.1133,487.84,489.3233,480.5867,-0.0015,60711.02622
BTC,2014-04-24,469.0882,487.1133,500.6233,468.9833,-0.037,50997.26202
BTC,2014-04-25,448.7783,469.0882,472.485,440.1388,-0.0433,56894.90457
BTC,2014-04-26,452.1483,448.7783,463.1867,448.5001,0.0075,61751.78667
BTC,2014-04-27,426.7817,452.1483,457.4558,423.4017,-0.0561,57935.66502
BTC,2014-04-28,432.605,426.7817,445.7309,421.0766,0.0136,57588.74487
BTC,2014-04-29,444.8567,432.605,449.0817,431.0083,0.0283,54813.38367
BTC,2014-04-30,454.5567,444.8567,455.43,432.9767,0.0218,58067.92463
BTC,2014-05-01,453.5983,454.5567,459.4267,447.2701,-0.0021,66817.88587
BTC,2014-05-02,441.9783,453.5983,453.5983,439.9033,-0.0256,67613.3369
BTC,2014-05-03,438.2904,441.9783,443.3666,428.5181,-0.0083,57272.47361
BTC,2014-05-04,432.7875,438.2904,438.4488,428.5184,-0.0126,60454.2777
BTC,2014-05-05,418.6183,432.7875,434.3583,418.5579,-0.0327,49715.68889
BTC,2014-05-06,428.4259,418.6183,431.3333,418.0167,0.0234,73976.94507
BTC,2014-05-07,442.5767,428.4259,446.36,423.1118,0.033,64829.25832
BTC,2014-05-08,439.04,442.5767,445.0167,434.3083,-0.008,62045.17974
BTC,2014-05-09,449.0433,439.04,451.245,438.0667,0.0228,66022.43485
BTC,2014-05-10,449.7417,449.0433,453.5433,446.2133,0.0016,70397.41547
BTC,2014-05-11,434.27,449.7417,450.0417,430.3333,-0.0344,66022.43485
BTC,2014-05-12,437,434.27,440.2133,431.515,0.0063,69096.59676
BTC,2014-05-13,438.88,437,439.5183,433.1333,0.0043,74817.97102
BTC,2014-05-14,445.045,438.88,445.8967,438.88,0.014,66015.85678
